,city_id,city_names,relative_uf,capital
75,95b585e7-3e03-44aa-8da3-973fb6162d3a,Agudo,RS,0
76,0d0b5726-a9ae-4ce2-9406-89ffe9b048c8,Agudos,SP,0
77,3e6382e6-74eb-4fc8-8d27-9f7c1a946524,Agudos do Sul,PR,0
78,098e1fd5-aa18-47e0-b41d-d362fea90626,Aguia Branca,ES,0
79,ec1d4d95-cfbc-4574-a563-31f7e8bcb89a,Aguiar,PB,0
80,3f873235-7efa-4066-beb9-b69ab2b01bea,Aguiarnopolis,TO,0
81,b6378398-4677-4ff1-9704-3ff742bcdbfe,Aimores,MG,0
82,feb3b6e8-f994-4e0e-8917-c7bf8fa2aa1d,Aiquara,BA,0
83,1355c0cf-373c-4fd4-a387-bb24d9c3b744,Aiuaba,CE,0
84,29dab15f-2c7a-4599-a299-d190e3a2b911,Aiuruoca,MG,0
85,52557121-56ca-4f07-b29d-7e51efd50314,Ajuricaba,RS,0
86,87ab7b1d-b9d0-46cd-979d-60d627e5f5b7,Alagoa,MG,0
87,ef476450-67f1-47b6-ab91-6f309f6fb9e9,Alagoa Grande,PB,0
88,ed3eecb8-b02e-4220-9347-1f76e53f183f,Alagoa Nova,PB,0
89,9796197c-2e07-4026-abb4-5ceba631fee5,Alagoinha,PB,0
90,cd14eb34-6621-4384-9a35-0f2341607f58,Alagoinha,PE,0
91,b9d3ddb7-b539-4722-a5c6-ee8a17354dd8,Alagoinha do Piaui,PI,0
92,a44dc285-1c65-4648-b114-0822cce7c367,Alagoinhas,BA,0
93,c68914ab-9d2f-40b8-b59e-0895af5cb4bb,Alambari,SP,0
94,b7c2302a-d792-40a7-bd16-a6b14fc328bd,Albertina,MG,0
95,60d6af94-5df6-4476-85e3-caad3196de39,Alcantara,MA,0
96,525bb907-82f6-4d0b-af7f-911757830d5e,Alcantaras,CE,0
97,a800528e-d7af-4c7d-93f7-3ab3da8a32ab,Alcantil,PB,0
98,c5050724-8f19-46ae-890e-3db05889adc8,Alcinopolis,MS,0
99,f8291977-0b82-4b37-bccf-2d8d5a3728a1,Alcobaca,BA,0
100,b45ad80b-399f-4042-9f65-59f6ea07c688,Aldeias Altas,MA,0
101,7243a7d7-4064-4538-859d-65f2e5bc57a0,Alecrim,RS,0
102,4f92f621-f8c9-4a90-a3ec-d8c0bd82822e,Alegre,ES,0
103,0f2e845d-a04e-44ee-b96e-4e739cd5c784,Alegrete,RS,0
104,ee199af3-9f35-4eb4-8701-6cd36f3d5d3d,Alegrete do Piaui,PI,0
105,6ba1b404-81f3-407a-a91f-07843f747878,Alegria,RS,0
106,bd5d0897-ea19-4e81-a53c-ff90aa444538,Alem Paraiba,MG,0
107,46769a4c-d886-40dd-b184-59267c9c2319,Alenquer,PA,0
108,68c65d75-cb3d-40d2-8fad-b130855465f4,Alexandria,RN,0
109,77123f08-1bbb-4479-9f85-5dea1f9c6934,Alexania,GO,0
110,b8350d9c-fa02-4772-b59a-9bf09492a28e,Alfenas,MG,0
111,8364f704-5fee-4a7c-aa99-9fcb3bc0dc1b,Alfredo Chaves,ES,0
112,a3422987-87d8-4539-b63d-ad6587496e5d,Alfredo Marcondes,SP,0
113,f8d1ebb9-7aad-43ec-9171-e4e37306fb31,Alfredo Vasconcelos,MG,0
114,ba222d19-e8d6-48c7-814c-eb75df1a76c8,Alfredo Wagner,SC,0
115,df041eee-52a4-4340-890e-ba166e133e8a,Algodao de Jandaira,PB,0
116,2f10b008-442e-42ae-b3fc-19a3d65eabcc,Alhandra,PB,0
117,91ad88bd-c991-4c9e-b5fc-e19161008813,Alianca,PE,0
118,151620cd-46b9-444b-9612-46a75e6d387e,Alianca do Tocantins,TO,0
119,074fde38-a456-4508-bc46-e43e1ff44d59,Almadina,BA,0
120,82c3fe06-ac1a-4f18-8e3b-f0d674b64f04,Almas,TO,0
121,7b04d332-2a12-4595-bc71-4338e2d509dc,Almeirim,PA,0
122,b8d124ea-4baf-4b24-aa7d-8431057c6098,Almenara,MG,0
123,29f8ba48-a3ff-44d1-bcbc-1cdc83ea77ec,Almino Afonso,RN,0
124,a360f080-d411-4bdb-a4b9-11a6b09215f6,Almirante Tamandare,PR,0
125,ccedffe3-ad70-4a5d-9b73-8da36d592633,Almirante Tamandare do Sul,RS,0
126,3f25c48b-baab-49d9-b990-fb963810769b,Aloandia,GO,0
127,08318d8a-15fa-47c6-8cd0-bdf4c7a55a6b,Alpercata,MG,0
128,acfa6fe6-c504-4752-ae9a-7a6b861e4651,Alpestre,RS,0
129,c0f93507-fc19-4fa5-b7a1-2aa3584366f1,Alpinopolis,MG,0
130,83c60ba7-9068-4d01-aa52-40a4b014723d,Alta Floresta,MT,0
131,3be60c3b-f81f-40a9-a688-7c32e3643b1c,Alta Floresta D'Oeste,RO,0
132,2bd092e2-9ae7-4708-8858-cf1d0b7c5222,Altair,SP,0
133,c74ee7e8-fdb2-4c50-922a-7fc07ef33bd9,Altamira,PA,0
134,e6860433-6b66-4319-8480-fe2c401bf9fc,Altamira do Maranhao,MA,0
135,dda4b1d0-c31a-4129-a90c-a9a6b6344351,Altamira do Parana,PR,0
136,6900aa71-48e3-43e6-84e8-e22f5d70a64b,Altaneira,CE,0
137,e6de2363-64d8-4717-bd37-6e5ca2620cc2,Alterosa,MG,0
138,0c9af80b-baff-45fa-90c8-a7168d2088b7,Altinho,PE,0
139,d856ceb1-c45c-40c7-a0c8-08b6353606eb,Altinopolis,SP,0
140,461683c6-bb5e-4656-a50c-ed4c88c942f2,Alto Alegre,SP,0
141,44d87db1-a5ee-4093-9823-5ae68839d661,Alto Alegre,RR,0
142,e9bd0ddd-f985-4ec7-ad42-bd0e4e0c85af,Alto Alegre,RS,0
143,811e142c-c787-4293-8045-880251c87cda,Alto Alegre do Maranhao,MA,0
144,7f40c6d6-50ec-4874-9ab2-a785b9fed373,Alto Alegre do Pindare,MA,0
145,920391fe-30c3-40bc-b4d4-ee72985033d3,Alto Alegre dos Parecis,RO,0
146,0f1a69f7-428f-4f25-9d06-9dd39f2a7a88,Alto Araguaia,MT,0
147,5cbe8819-1ead-49a6-9e4f-008223b13ed5,Alto Bela Vista,SC,0
148,84ac3bec-6c6b-4803-9571-822f4c49c7a0,Alto Boa Vista,MT,0
149,ab764e54-24b2-4cc0-95fc-e81b4ac1014a,Alto Caparao,MG,0
150,a28f6b0e-c138-4d04-a9cf-89ff94bdb650,Alto do Rodrigues,RN,0
151,892e88ce-e6af-49e9-8f02-ba34edacf5db,Alto Feliz,RS,0
152,c1ea1db5-6079-4fcd-bfe2-a159a6523425,Alto Garcas,MT,0
153,5548ae31-4041-4205-8252-3bd1e0386dd6,Alto Horizonte,GO,0
154,78fcf112-45cc-4ffa-9f09-76d0451bb3e6,Alto Jequitiba,MG,0
155,a1b84cd9-7245-4ea0-ba88-b77b7f21dcda,Alto Longa,PI,0
156,4e3c873f-245e-442f-ad0d-79edec327a3d,Alto Paraguai,MT,0
157,f35d0a63-be5d-4bcb-9a75-4292d21f9063,Alto Paraiso,PR,0
158,c9ae1553-c644-45f1-bb1c-c456b0a2149d,Alto Paraiso,RO,0
159,34e1c153-2237-488a-acc4-454121867228,Alto Paraiso de Goias,GO,0
160,f22eea4a-bc9d-4bd2-9b5b-bfa66ac12039,Alto Parana,PR,0
161,2cc07315-aaf6-441b-9b04-92826502c1cf,Alto Parnaiba,MA,0
162,45de7cae-59df-4ce3-a936-9a1db4dcc0be,Alto Piquiri,PR,0
163,f87c5975-1198-422a-8475-2b1e1df9a187,Alto Rio Doce,MG,0
164,69b2e452-e9dd-4939-9261-5760123ef542,Alto Rio Novo,ES,0
165,278b73f3-8c65-476b-9d3f-02f9120ff8b9,Alto Santo,CE,0
166,6dae00e4-7697-43e7-ac8d-b17aef486b3a,Alto Taquari,MT,0
167,9ed0839f-594d-43ee-af3c-a0d36b85c68d,Altonia,PR,0
168,fe4db818-ab00-4828-ae15-b319013f13ca,Altos,PI,0
169,704df775-4d0b-432c-8ee4-c9c3ab03b4c0,Aluminio,SP,0
170,035d5a42-5072-4720-a54e-67db23927ba9,Alvaraes,AM,0
171,5b4dd919-2084-45d4-8818-e951c653c8af,Alvarenga,MG,0
172,867c9aa3-76f1-40f6-a60d-182a5811d5c1,Alvares Florence,SP,0
173,2e102c2e-4c31-4bd4-bffb-1c7f96551adb,Alvares Machado,SP,0
174,05e68ad9-2d43-405d-8a7f-c4fc159d211d,Alvaro de Carvalho,SP,0
175,d3d7d6be-a8db-4b88-b433-94348b1ee23b,Alvinlandia,SP,0
176,cc1bc82f-9a4e-4202-8cab-0feb70b9e70f,Alvinopolis,MG,0
177,c9da66c8-2bbb-46eb-90db-12ac8420c6a6,Alvorada,TO,0
178,91a9df57-a224-4ea5-b59f-c44409d9ff20,Alvorada,RS,0
179,aec8683b-e42a-4d3d-8711-59fb0fbad071,Alvorada D'Oeste,RO,0
180,8a2cf1a6-9abd-499c-a21d-8f45dff36a3d,Alvorada de Minas,MG,0
181,1ec3b85d-ae6b-4796-ae70-aa887e199af0,Alvorada do Gurgueia,PI,0
182,f19a22e3-6e22-43a7-abab-d8c64e2e553f,Alvorada do Norte,GO,0
183,42680b0f-908e-4277-a638-e57cbe8fcbd1,Alvorada do Sul,PR,0
184,58129628-46d5-41ef-9877-6fb649527f28,Amajari,RR,0
185,5d8a5c0c-d7a3-4933-8f94-a8276ad2887b,Amambai,MS,0
186,cb2468f5-91d0-4312-afac-60b33f3e59a8,Amapa,AP,0
187,c36937a4-166c-459c-acba-a117704f140a,Amapa do Maranhao,MA,0
188,97d48b38-d444-4406-b7c8-cf700b1dad84,Amapora,PR,0
189,b4086169-a9a0-441b-9e8b-fd572aa50f3c,Amaraji,PE,0
190,b2344efe-d816-4646-bf00-8fbd763c4e50,Amaral Ferrador,RS,0
191,0baaae54-07b5-4707-9989-dad7af3d64e0,Amaralina,GO,0
192,8e234ce1-6af7-438c-94a5-81c2bbc08c8a,Amarante,PI,0
193,ab365109-db12-4497-bb00-fa6448eafbe4,Amarante do Maranhao,MA,0
194,3f64a542-c769-4c35-9777-a26154269d17,Amargosa,BA,0
195,932bd7ce-8ac0-4a75-9a5e-f50be8ef6e0a,Amatura,AM,0
196,7adf3dd2-a84e-4232-956d-441c61f5f471,Amelia Rodrigues,BA,0
197,66fd6b23-aab3-48f2-b45f-06d79fa41992,America Dourada,BA,0
198,cc624fbc-7df3-4b13-8240-cf8b18bde887,Americana,SP,0
199,f9edba29-3b0b-4933-935f-ef4301002e95,Americano do Brasil,GO,0
200,ed9ce2b1-22d6-4f15-b58e-b320221a847b,Americo Brasiliense,SP,0
201,76c042f3-a3c1-4bec-958c-dda4b6b5d58e,Americo de Campos,SP,0
202,6dfd5c4e-fc9b-44ab-9cbf-55100f583c3d,Ametista do Sul,RS,0
203,606a3233-fa39-42c8-8115-5e09984c8d54,Amontada,CE,0
